#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,Year,YearDate
433,Camilo Doval,SFG,32.0%,69.3%,46.9%,53.5%,82.6%,70.7%,40.1%,53.5%,13.7%,15.9%,29.6%,2022.0,2022-01-01
434,Steven Matz,STL,32.0%,68.7%,49.4%,62.9%,81.9%,75.4%,47.3%,64.3%,12.1%,18.3%,30.4%,2022.0,2022-01-01
435,Charlie Morton,ATL,32.0%,65.4%,45.5%,55.6%,85.8%,73.1%,40.3%,58.7%,12.2%,18.3%,30.6%,2022.0,2022-01-01
436,Joe Ryan,MIN,32.0%,73.5%,50.7%,64.4%,84.4%,77.5%,45.2%,64.4%,11.4%,15.9%,27.3%,2022.0,2022-01-01
437,Dane Dunning,TEX,32.0%,65.1%,44.0%,65.8%,87.2%,77.3%,36.4%,59.6%,10.0%,17.8%,27.8%,2022.0,2022-01-01
438,Kutter Crawford,BOS,32.0%,68.6%,47.5%,62.8%,84.6%,76.1%,42.3%,61.4%,11.3%,16.2%,27.5%,2022.0,2022-01-01
439,Drew Hutchison,DET,31.9%,70.9%,47.5%,72.2%,88.1%,81.7%,39.9%,60.3%,8.7%,14.9%,23.6%,2022.0,2022-01-01
440,Hunter Greene,CIN,31.9%,72.5%,48.7%,55.1%,79.7%,70.2%,41.4%,64.4%,14.5%,14.7%,29.2%,2022.0,2022-01-01
441,Mike Clevinger,SDP,31.9%,69.3%,48.2%,66.3%,84.9%,78.0%,43.6%,60.6%,10.6%,15.6%,26.3%,2022.0,2022-01-01
442,Marcus Stroman,CHC,31.9%,65.0%,45.7%,64.1%,90.7%,79.8%,41.5%,66.8%,9.2%,18.8%,28.0%,2022.0,2022-01-01
443,Hoby Milner,MIL,31.9%,58.2%,41.1%,69.9%,84.2%,77.0%,34.9%,56.6%,9.5%,21.3%,30.8%,2022.0,2022-01-01
444,Phil Bickford,LAD,31.9%,72.7%,50.5%,72.1%,80.8%,77.8%,45.6%,61.1%,11.2%,17.4%,28.6%,2022.0,2022-01-01
445,Trevor Williams,NYM,31.9%,74.8%,48.7%,64.5%,88.8%,79.1%,39.2%,68.3%,10.2%,14.8%,24.9%,2022.0,2022-01-01
446,Jake Odorizzi,- - -,31.9%,77.4%,50.0%,71.0%,84.8%,79.5%,39.8%,54.3%,10.2%,13.4%,23.6%,2022.0,2022-01-01
447,Nick Lodolo,CIN,31.9%,63.0%,44.9%,57.6%,83.2%,72.6%,41.8%,67.3%,12.3%,17.5%,29.8%,2022.0,2022-01-01
448,Jordan Lyles,BAL,31.9%,67.2%,46.2%,66.7%,89.2%,79.9%,40.4%,61.4%,9.3%,17.1%,26.4%,2022.0,2022-01-01
449,Spenser Watkins,BAL,31.8%,66.9%,47.4%,69.0%,90.4%,82.4%,44.5%,65.8%,8.3%,17.2%,25.5%,2022.0,2022-01-01
450,German Marquez,COL,31.8%,71.0%,49.4%,60.1%,90.1%,79.5%,44.8%,65.1%,10.1%,15.5%,25.7%,2022.0,2022-01-01
451,Matt Koch,SEA,31.8%,75.0%,48.6%,71.4%,81.0%,77.1%,38.9%,52.6%,11.1%,13.9%,25.0%,2022.0,2022-01-01
452,Sheldon Neuse,OAK,31.8%,72.7%,45.5%,100.0%,100.0%,100.0%,33.3%,50.0%,0.0%,18.2%,18.2%,2022.0,2022-01-01
453,A.J. Puk,OAK,31.8%,67.3%,47.3%,55.2%,83.5%,72.8%,43.7%,60.9%,12.9%,17.9%,30.8%,2022.0,2022-01-01
454,Alex Vesia,LAD,31.8%,70.5%,48.1%,61.7%,73.8%,69.1%,42.1%,60.4%,14.8%,15.8%,30.6%,2022.0,2022-01-01
455,Collin Snider,KCR,31.7%,61.7%,43.4%,67.3%,90.0%,79.8%,38.9%,49.0%,8.7%,16.1%,24.9%,2022.0,2022-01-01
456,Kirk McCarty,CLE,31.7%,72.9%,50.5%,73.7%,83.2%,80.0%,45.6%,66.7%,10.1%,16.4%,26.5%,2022.0,2022-01-01
457,Brad Keller,KCR,31.7%,71.9%,48.5%,61.8%,90.9%,79.8%,41.7%,54.1%,9.8%,13.6%,23.4%,2022.0,2022-01-01
458,Tyler Mahle,- - -,31.7%,66.3%,45.2%,64.1%,84.3%,75.7%,38.9%,61.6%,11.0%,17.4%,28.4%,2022.0,2022-01-01
459,Taylor Hearn,TEX,31.6%,70.4%,48.0%,68.2%,86.6%,79.6%,42.1%,63.7%,9.8%,16.1%,25.9%,2022.0,2022-01-01
460,Thomas Szapucki,- - -,31.6%,64.1%,44.7%,65.5%,86.7%,77.7%,40.2%,61.2%,10.0%,16.2%,26.1%,2022.0,2022-01-01
461,Tanner Scott,MIA,31.6%,67.9%,45.9%,51.6%,76.8%,66.3%,39.4%,54.7%,15.5%,15.8%,31.3%,2022.0,2022-01-01
462,Cionel Perez,BAL,31.6%,67.3%,47.5%,57.6%,86.7%,75.9%,44.5%,61.5%,11.4%,16.4%,27.9%,2022.0,2022-01-01
463,Steven Okert,MIA,31.6%,64.8%,45.1%,60.8%,78.5%,71.2%,40.8%,57.0%,13.0%,17.6%,30.6%,2022.0,2022-01-01
464,Andrelton Simmons,CHC,31.6%,66.7%,40.0%,100.0%,75.0%,90.0%,24.0%,55.6%,4.0%,12.0%,16.0%,2022.0,2022-01-01
465,Danny Coulombe,MIN,31.6%,70.5%,44.8%,62.5%,80.0%,71.8%,33.9%,58.5%,12.6%,12.6%,25.2%,2022.0,2022-01-01
466,T.J. McFarland,STL,31.6%,69.9%,46.2%,75.8%,93.1%,85.8%,38.2%,55.2%,6.6%,15.4%,22.0%,2022.0,2022-01-01
467,Miles Mikolas,STL,31.6%,69.2%,48.6%,72.7%,88.8%,83.1%,45.2%,63.4%,8.2%,17.7%,26.0%,2022.0,2022-01-01
468,Craig Stammen,SDP,31.6%,66.3%,44.9%,60.3%,87.7%,75.9%,38.5%,62.7%,10.8%,17.4%,28.2%,2022.0,2022-01-01
469,Max Castillo,- - -,31.5%,70.6%,46.3%,68.4%,87.2%,79.3%,38.0%,60.6%,9.6%,15.4%,25.0%,2022.0,2022-01-01
470,Max Kranick,PIT,31.5%,68.2%,42.1%,58.8%,86.7%,71.9%,28.9%,52.6%,11.8%,9.2%,21.1%,2022.0,2022-01-01
471,Zach Logue,OAK,31.5%,72.8%,48.1%,70.8%,89.0%,81.9%,40.3%,51.0%,8.7%,14.1%,22.8%,2022.0,2022-01-01
472,Luis Severino,NYY,31.5%,72.8%,49.0%,60.6%,83.2%,74.8%,42.4%,64.0%,12.3%,15.8%,28.1%,2022.0,2022-01-01
473,Yusei Kikuchi,TOR,31.5%,69.9%,47.3%,57.4%,81.0%,71.8%,41.3%,57.3%,13.3%,14.3%,27.6%,2022.0,2022-01-01
474,Bailey Falter,PHI,31.4%,67.9%,48.6%,60.6%,86.0%,77.3%,46.9%,66.2%,11.0%,19.2%,30.3%,2022.0,2022-01-01
475,Luis Cessa,CIN,31.4%,66.7%,46.2%,64.4%,89.9%,79.9%,42.0%,61.9%,9.3%,17.2%,26.5%,2022.0,2022-01-01
476,Freddy Peralta,MIL,31.3%,63.9%,44.0%,61.0%,81.0%,72.3%,38.9%,58.0%,12.2%,17.4%,29.6%,2022.0,2022-01-01
477,Tyler Danish,BOS,31.3%,61.9%,43.7%,71.0%,92.2%,83.1%,40.4%,53.8%,7.4%,19.0%,26.4%,2022.0,2022-01-01
478,Ethan Roberts,CHC,31.3%,71.8%,49.2%,71.0%,89.3%,82.8%,44.1%,50.0%,8.5%,10.7%,19.2%,2022.0,2022-01-01
479,Keegan Thompson,CHC,31.3%,66.9%,46.0%,65.9%,86.7%,78.3%,41.2%,57.3%,10.0%,16.9%,26.8%,2022.0,2022-01-01
480,Matt Manning,DET,31.3%,70.2%,49.6%,72.0%,85.6%,81.1%,47.1%,57.4%,9.4%,15.4%,24.7%,2022.0,2022-01-01
481,Adam Ottavino,NYM,31.3%,62.0%,44.1%,52.8%,84.6%,71.5%,41.6%,60.5%,12.6%,20.2%,32.8%,2022.0,2022-01-01
482,Lance McCullers Jr.,HOU,31.3%,62.6%,43.2%,55.1%,90.1%,74.4%,38.1%,53.8%,11.1%,17.9%,29.0%,2022.0,2022-01-01
483,Austin Gomber,COL,31.3%,72.0%,48.6%,67.6%,87.2%,79.9%,42.5%,59.2%,9.8%,15.3%,25.1%,2022.0,2022-01-01
484,Rich Hill,BOS,31.3%,65.8%,47.3%,68.2%,87.2%,80.4%,46.5%,63.3%,9.2%,20.2%,29.4%,2022.0,2022-01-01
485,Kyle Freeland,COL,31.3%,71.6%,47.4%,67.8%,88.7%,80.5%,40.2%,61.9%,9.3%,15.6%,24.9%,2022.0,2022-01-01
486,Jandel Gustave,MIL,31.3%,64.3%,46.1%,76.3%,90.4%,85.1%,45.1%,64.2%,6.9%,19.3%,26.2%,2022.0,2022-01-01
487,Jason Alexander,MIL,31.2%,61.5%,42.9%,74.3%,90.9%,83.5%,38.7%,64.2%,7.1%,18.9%,25.9%,2022.0,2022-01-01
488,Michael Fulmer,- - -,31.2%,69.2%,45.6%,58.4%,84.7%,73.5%,38.0%,54.3%,12.1%,15.4%,27.5%,2022.0,2022-01-01
489,Martin Perez,TEX,31.2%,67.5%,44.2%,74.0%,86.8%,81.0%,35.9%,62.6%,8.4%,18.8%,27.2%,2022.0,2022-01-01
490,Stephen Nogosek,NYM,31.2%,74.3%,50.8%,71.9%,86.6%,81.7%,45.5%,62.1%,9.3%,14.1%,23.3%,2022.0,2022-01-01
491,Ian Kennedy,ARI,31.2%,77.1%,49.9%,80.0%,84.6%,82.9%,40.8%,66.4%,8.5%,15.1%,23.6%,2022.0,2022-01-01
492,David Peterson,NYM,31.2%,68.0%,44.4%,54.4%,84.8%,71.2%,36.0%,52.2%,12.8%,14.9%,27.7%,2022.0,2022-01-01
493,Taylor Rogers,- - -,31.2%,58.1%,43.5%,53.0%,83.4%,71.6%,45.8%,68.2%,12.4%,22.5%,34.8%,2022.0,2022-01-01
494,Luis Patino,TBR,31.2%,72.8%,49.7%,67.2%,88.1%,80.8%,44.6%,65.3%,9.5%,13.9%,23.5%,2022.0,2022-01-01
495,Ian Anderson,ATL,31.1%,73.8%,46.8%,59.5%,84.0%,73.7%,36.7%,56.8%,12.3%,13.4%,25.7%,2022.0,2022-01-01
496,JoJo Romero,- - -,31.1%,58.2%,40.2%,50.0%,83.0%,66.1%,33.6%,61.2%,13.7%,17.3%,31.0%,2022.0,2022-01-01
497,Jesus Luzardo,MIA,31.1%,67.4%,45.6%,53.7%,80.8%,69.7%,39.9%,65.3%,13.8%,17.2%,31.0%,2022.0,2022-01-01
498,Chris Sale,BOS,31.0%,50.0%,39.2%,77.8%,95.5%,87.5%,43.1%,60.0%,4.9%,27.5%,32.4%,2022.0,2022-01-01
499,Daniel Norris,- - -,31.0%,62.4%,42.9%,53.3%,82.0%,69.1%,37.8%,58.0%,13.2%,17.7%,30.9%,2022.0,2022-01-01
500,Juan Minaya,MIN,31.0%,66.2%,46.0%,67.7%,75.5%,72.5%,42.5%,62.2%,12.6%,17.2%,29.9%,2022.0,2022-01-01
501,Joey Krehbiel,BAL,31.0%,70.5%,46.0%,74.5%,82.8%,79.3%,37.9%,53.7%,9.5%,16.3%,25.8%,2022.0,2022-01-01
502,Brett Phillips,TBR,31.0%,82.4%,45.8%,92.3%,100.0%,96.3%,28.8%,54.5%,1.7%,11.9%,13.6%,2022.0,2022-01-01
503,Nick Neidert,MIA,31.0%,67.5%,48.8%,84.6%,85.2%,85.0%,48.8%,50.0%,7.3%,18.3%,25.6%,2022.0,2022-01-01
504,Johan Oviedo,- - -,31.0%,69.8%,48.2%,58.0%,87.1%,76.7%,44.3%,59.9%,11.2%,16.4%,27.7%,2022.0,2022-01-01
505,Carlos Hernandez,KCR,31.0%,72.6%,47.2%,67.7%,83.7%,77.3%,39.1%,57.9%,10.7%,13.8%,24.5%,2022.0,2022-01-01
506,Joel Payamps,- - -,30.9%,70.2%,46.7%,68.2%,86.6%,79.3%,40.2%,52.7%,9.7%,15.0%,24.7%,2022.0,2022-01-01
507,Jarlin Garcia,SFG,30.9%,69.7%,48.0%,65.3%,83.3%,76.8%,43.9%,60.0%,11.1%,16.7%,27.9%,2022.0,2022-01-01
508,Seth Martinez,HOU,30.9%,69.1%,47.0%,69.8%,80.8%,76.6%,42.1%,67.1%,11.0%,17.9%,28.9%,2022.0,2022-01-01
509,Nick Sandlin,CLE,30.9%,69.3%,45.9%,61.9%,83.1%,74.4%,39.2%,53.9%,11.8%,16.1%,27.8%,2022.0,2022-01-01
510,Vince Velasquez,CHW,30.9%,71.6%,48.5%,63.1%,82.7%,75.6%,43.3%,62.4%,11.8%,16.2%,28.0%,2022.0,2022-01-01
511,Tyler Gilbert,ARI,30.8%,68.8%,48.0%,76.8%,85.8%,82.7%,45.4%,60.3%,8.3%,16.7%,25.0%,2022.0,2022-01-01
512,Travis Lakins Sr.,BAL,30.8%,71.6%,48.1%,73.0%,85.7%,81.0%,42.3%,54.0%,9.1%,14.4%,23.6%,2022.0,2022-01-01
513,Tyler Matzek,ATL,30.8%,75.9%,48.4%,65.7%,83.4%,76.5%,39.0%,56.5%,11.4%,12.9%,24.3%,2022.0,2022-01-01
514,Matt Foster,CHW,30.8%,76.3%,49.7%,68.8%,87.3%,80.6%,41.7%,64.2%,9.6%,13.8%,23.4%,2022.0,2022-01-01
515,Adrian Martinez,OAK,30.8%,70.5%,47.5%,64.6%,85.0%,77.4%,42.1%,59.5%,10.7%,16.3%,27.0%,2022.0,2022-01-01
516,Austin Davis,- - -,30.8%,68.9%,45.7%,63.2%,84.8%,75.9%,39.2%,56.4%,11.0%,16.2%,27.2%,2022.0,2022-01-01
517,Matt Brash,SEA,30.8%,59.4%,42.4%,52.6%,83.6%,70.2%,40.5%,60.8%,12.6%,19.7%,32.3%,2022.0,2022-01-01
518,Josh Sborz,TEX,30.7%,67.8%,43.9%,51.8%,79.2%,66.8%,35.6%,60.0%,14.6%,16.7%,31.3%,2022.0,2022-01-01
519,Carlos Estevez,COL,30.7%,78.3%,50.0%,78.0%,84.3%,82.0%,40.6%,60.0%,9.0%,12.2%,21.3%,2022.0,2022-01-01
520,Clarke Schmidt,NYY,30.7%,67.7%,46.7%,53.7%,86.8%,74.4%,43.2%,58.1%,11.9%,18.5%,30.4%,2022.0,2022-01-01
521,Paul Sewald,SEA,30.7%,72.6%,48.9%,56.2%,76.9%,69.5%,43.4%,60.7%,14.9%,16.3%,31.2%,2022.0,2022-01-01
522,Dustin May,LAD,30.7%,69.0%,46.8%,54.8%,83.3%,72.5%,42.2%,59.1%,12.9%,15.8%,28.7%,2022.0,2022-01-01
523,Ranger Suarez,PHI,30.6%,68.7%,45.3%,68.9%,89.0%,80.6%,38.6%,57.6%,8.8%,16.7%,25.5%,2022.0,2022-01-01
524,Andrew Wantz,LAA,30.6%,72.0%,46.9%,51.3%,85.6%,72.1%,39.5%,55.9%,13.1%,15.6%,28.8%,2022.0,2022-01-01
525,Beau Brieske,DET,30.6%,77.0%,50.5%,81.3%,84.9%,83.7%,42.9%,59.9%,8.2%,13.8%,22.1%,2022.0,2022-01-01
526,Framber Valdez,HOU,30.6%,65.6%,46.6%,52.6%,88.6%,75.8%,45.8%,59.3%,11.3%,17.6%,28.8%,2022.0,2022-01-01
527,Tommy Romero,- - -,30.6%,70.0%,45.0%,70.3%,85.7%,79.1%,36.6%,68.2%,9.4%,16.2%,25.7%,2022.0,2022-01-01
528,Paul Blackburn,OAK,30.6%,66.8%,44.3%,66.2%,87.2%,78.2%,38.0%,63.6%,9.6%,17.8%,27.4%,2022.0,2022-01-01
529,Kaleb Ort,BOS,30.5%,72.7%,48.1%,66.0%,81.3%,75.6%,41.7%,60.4%,11.7%,16.3%,28.0%,2022.0,2022-01-01
530,Sam Selman,OAK,30.5%,69.5%,46.1%,64.8%,85.4%,77.2%,40.0%,60.0%,10.5%,18.0%,28.5%,2022.0,2022-01-01
531,Daulton Jefferies,OAK,30.5%,72.9%,47.6%,69.4%,86.1%,79.7%,40.4%,58.1%,9.7%,15.7%,25.4%,2022.0,2022-01-01
532,Reyes Moronta,- - -,30.5%,67.6%,44.6%,62.0%,83.0%,74.1%,38.1%,57.8%,11.5%,17.0%,28.5%,2022.0,2022-01-01
533,Ryan Castellani,OAK,30.4%,81.8%,55.6%,71.4%,100.0%,92.0%,48.9%,72.7%,4.4%,13.3%,17.8%,2022.0,2022-01-01
534,Kyle Tyler,SDP,30.4%,64.7%,45.0%,71.4%,81.8%,77.8%,42.5%,57.1%,10.0%,15.0%,25.0%,2022.0,2022-01-01
535,Chris Bassitt,NYM,30.4%,65.0%,46.3%,70.7%,82.5%,78.3%,45.9%,60.9%,10.0%,19.2%,29.2%,2022.0,2022-01-01
536,Marcos Diplan,BAL,30.4%,67.4%,43.4%,75.0%,89.7%,83.0%,35.2%,48.1%,7.4%,15.6%,23.0%,2022.0,2022-01-01
537,Austin Voth,- - -,30.4%,71.4%,47.8%,63.8%,84.9%,77.2%,42.6%,62.0%,10.9%,15.5%,26.4%,2022.0,2022-01-01
538,Logan Gillaspie,BAL,30.3%,70.0%,46.9%,80.4%,84.4%,82.9%,42.0%,56.8%,8.0%,17.9%,26.0%,2022.0,2022-01-01
539,Cole Sands,MIN,30.3%,69.5%,46.3%,65.7%,87.1%,78.9%,40.8%,56.6%,9.8%,15.8%,25.5%,2022.0,2022-01-01
540,Sonny Gray,MIN,30.2%,63.0%,43.2%,65.9%,88.0%,78.6%,39.4%,60.5%,9.2%,20.2%,29.4%,2022.0,2022-01-01
541,Ken Waldichuk,OAK,30.2%,76.0%,50.7%,61.2%,84.9%,77.1%,44.7%,61.6%,11.6%,13.5%,25.1%,2022.0,2022-01-01
542,Aaron Brooks,STL,30.2%,67.6%,46.8%,65.4%,89.1%,80.6%,44.2%,62.8%,9.1%,22.1%,31.2%,2022.0,2022-01-01
543,Caleb Smith,ARI,30.2%,74.2%,48.6%,60.8%,80.7%,73.5%,41.8%,62.6%,12.9%,14.0%,26.9%,2022.0,2022-01-01
544,Logan Gilbert,SEA,30.2%,74.8%,50.1%,67.5%,84.0%,78.5%,44.7%,63.7%,10.8%,14.4%,25.1%,2022.0,2022-01-01
545,Ross Detwiler,CIN,30.2%,68.5%,47.8%,72.7%,85.8%,81.3%,45.9%,59.0%,8.9%,17.8%,26.8%,2022.0,2022-01-01
546,Nick Pivetta,BOS,30.2%,70.0%,47.5%,68.3%,85.0%,79.0%,43.7%,59.9%,10.0%,16.8%,26.7%,2022.0,2022-01-01
547,Josiah Gray,WSN,30.2%,67.2%,44.6%,59.8%,84.9%,74.5%,39.0%,57.8%,11.4%,16.5%,27.9%,2022.0,2022-01-01
548,Steven Wilson,SDP,30.2%,72.3%,46.9%,59.1%,81.7%,72.9%,39.7%,61.2%,12.7%,16.1%,28.8%,2022.0,2022-01-01
549,Tim Hill,SDP,30.2%,66.5%,46.4%,76.6%,90.1%,85.3%,44.8%,54.8%,6.8%,17.2%,24.0%,2022.0,2022-01-01
550,Drew Carlton,DET,30.2%,82.5%,55.0%,73.7%,87.2%,83.3%,47.5%,59.4%,9.2%,14.2%,23.3%,2022.0,2022-01-01
551,Louis Head,- - -,30.2%,71.0%,46.7%,62.2%,89.8%,79.2%,40.5%,53.6%,9.7%,14.1%,23.8%,2022.0,2022-01-01
552,Miguel Castro,NYY,30.2%,61.4%,42.0%,60.2%,76.0%,68.9%,37.7%,51.9%,13.0%,19.5%,32.6%,2022.0,2022-01-01
553,David Robertson,- - -,30.1%,64.0%,44.0%,48.1%,81.9%,68.2%,40.8%,65.9%,14.0%,19.1%,33.0%,2022.0,2022-01-01
554,Steve Cishek,WSN,30.1%,61.1%,42.4%,61.7%,86.6%,75.9%,39.6%,59.9%,10.2%,19.4%,29.6%,2022.0,2022-01-01
555,Mitch Keller,PIT,30.1%,66.3%,45.5%,68.4%,88.4%,80.9%,42.7%,56.8%,8.7%,17.1%,25.8%,2022.0,2022-01-01
556,Jorge Lopez,- - -,30.1%,65.4%,46.7%,58.9%,86.0%,76.8%,47.0%,62.1%,10.9%,18.9%,29.7%,2022.0,2022-01-01
557,Madison Bumgarner,ARI,30.1%,72.3%,48.1%,75.2%,88.8%,83.9%,42.6%,61.6%,7.7%,16.2%,23.9%,2022.0,2022-01-01
558,Humberto Castellanos,ARI,30.0%,67.2%,46.5%,74.4%,87.9%,83.0%,44.4%,58.8%,7.9%,17.9%,25.8%,2022.0,2022-01-01
559,Jake McGee,- - -,30.0%,78.0%,52.6%,78.0%,86.1%,83.7%,47.1%,58.9%,8.6%,13.7%,22.3%,2022.0,2022-01-01
560,Michael Kelly,PHI,30.0%,75.0%,46.9%,75.0%,77.8%,76.7%,37.5%,75.0%,10.9%,18.8%,29.7%,2022.0,2022-01-01
561,Mike Ford,ATL,30.0%,80.0%,46.7%,100.0%,100.0%,100.0%,33.3%,60.0%,0.0%,6.7%,6.7%,2022.0,2022-01-01
562,Willians Astudillo,MIA,30.0%,0.0%,26.1%,100.0%, ,100.0%,13.0%,42.9%,0.0%,13.0%,13.0%,2022.0,2022-01-01
563,Miguel Diaz,DET,30.0%,80.8%,53.6%,44.4%,76.2%,66.7%,46.4%,42.9%,17.9%,10.7%,28.6%,2022.0,2022-01-01
564,Bennett Sousa,CHW,30.0%,76.1%,49.6%,69.8%,79.7%,76.2%,42.5%,59.4%,11.8%,13.7%,25.5%,2022.0,2022-01-01
565,Kervin Castro,- - -,30.0%,64.6%,44.4%,64.3%,87.5%,78.3%,41.4%,59.6%,9.6%,17.2%,26.8%,2022.0,2022-01-01
566,Kirby Snead,OAK,30.0%,61.3%,43.3%,70.1%,88.2%,81.1%,42.7%,62.9%,8.2%,19.1%,27.3%,2022.0,2022-01-01
567,Adam Kolarek,OAK,30.0%,66.7%,42.8%,85.5%,91.9%,89.0%,34.9%,55.7%,4.7%,16.7%,21.4%,2022.0,2022-01-01
568,Evan Phillips,LAD,29.9%,64.2%,44.9%,56.4%,82.6%,72.7%,43.6%,67.4%,12.2%,20.5%,32.7%,2022.0,2022-01-01
569,Joey Wentz,DET,29.9%,67.4%,45.0%,67.7%,89.4%,80.8%,40.4%,58.5%,8.6%,15.5%,24.1%,2022.0,2022-01-01
570,Eric Lauer,MIL,29.9%,67.9%,46.3%,70.0%,83.8%,78.8%,43.3%,61.7%,9.8%,17.6%,27.4%,2022.0,2022-01-01
571,Garrett Hill,DET,29.9%,70.0%,45.9%,72.7%,88.8%,82.5%,39.9%,60.8%,8.0%,16.4%,24.4%,2022.0,2022-01-01
572,Corey Knebel,PHI,29.9%,67.1%,44.4%,58.6%,85.6%,74.5%,39.0%,56.2%,11.3%,15.5%,26.8%,2022.0,2022-01-01
573,Janson Junk,LAA,29.9%,65.3%,45.9%,76.9%,89.4%,84.9%,45.3%,62.2%,6.9%,18.2%,25.2%,2022.0,2022-01-01
574,Dylan Coleman,KCR,29.9%,66.0%,44.3%,58.8%,78.3%,70.4%,40.0%,54.3%,13.1%,15.4%,28.5%,2022.0,2022-01-01
575,Matt Strahm,BOS,29.9%,66.4%,47.5%,71.2%,82.9%,79.1%,48.3%,61.7%,9.9%,18.7%,28.7%,2022.0,2022-01-01
576,Kyle Barraclough,LAA,29.9%,74.2%,49.6%,43.5%,71.7%,62.3%,44.6%,59.5%,18.7%,12.2%,30.9%,2022.0,2022-01-01
577,Jeurys Familia,- - -,29.9%,62.9%,42.7%,59.7%,86.0%,74.8%,38.9%,51.0%,10.8%,17.1%,27.9%,2022.0,2022-01-01
578,Brock Burke,TEX,29.9%,69.7%,46.4%,69.0%,80.5%,76.2%,41.5%,60.1%,11.1%,17.1%,28.2%,2022.0,2022-01-01
579,Mark Melancon,ARI,29.8%,71.6%,47.7%,64.9%,87.5%,79.4%,42.9%,62.3%,9.8%,15.2%,25.1%,2022.0,2022-01-01
580,Archie Bradley,LAA,29.8%,67.7%,45.2%,70.4%,89.3%,81.9%,40.7%,57.7%,8.2%,18.0%,26.2%,2022.0,2022-01-01
581,Kyle Crick,CHW,29.8%,57.4%,40.5%,60.8%,85.5%,74.3%,38.7%,56.1%,10.4%,21.1%,31.5%,2022.0,2022-01-01
582,Alex Colome,COL,29.8%,73.0%,46.0%,66.7%,91.3%,81.3%,37.4%,53.0%,8.6%,13.6%,22.2%,2022.0,2022-01-01
583,James Kaprielian,OAK,29.8%,72.3%,47.6%,67.4%,87.3%,80.0%,41.9%,58.1%,9.5%,15.4%,24.9%,2022.0,2022-01-01
584,Sam Coonrod,PHI,29.8%,76.2%,50.4%,76.9%,85.0%,82.4%,44.5%,62.1%,8.9%,12.7%,21.6%,2022.0,2022-01-01
585,Tayler Scott,SDP,29.7%,57.7%,40.4%,53.2%,85.7%,70.9%,38.0%,54.2%,11.8%,20.4%,32.2%,2022.0,2022-01-01
586,Ashton Goudeau,COL,29.6%,71.1%,46.1%,68.7%,84.9%,78.6%,39.7%,57.4%,9.9%,14.1%,24.0%,2022.0,2022-01-01
587,Bryse Wilson,PIT,29.6%,70.6%,47.7%,72.5%,90.0%,83.9%,44.1%,59.9%,7.7%,16.8%,24.5%,2022.0,2022-01-01
588,Craig Kimbrel,LAD,29.6%,67.0%,45.1%,57.8%,82.6%,73.0%,41.4%,63.1%,12.2%,17.3%,29.4%,2022.0,2022-01-01
589,Konnor Pilkington,CLE,29.6%,75.3%,47.2%,66.7%,82.1%,76.1%,38.5%,54.3%,11.3%,12.5%,23.8%,2022.0,2022-01-01
590,Gregory Soto,DET,29.6%,69.8%,46.9%,62.9%,83.6%,76.2%,43.0%,56.7%,11.2%,14.9%,26.0%,2022.0,2022-01-01
591,Connor Seabold,BOS,29.6%,74.4%,49.5%,63.9%,84.4%,77.6%,44.3%,62.2%,11.1%,14.6%,25.7%,2022.0,2022-01-01
592,Adrian Houser,MIL,29.6%,66.2%,43.0%,78.1%,90.4%,85.0%,36.5%,57.6%,6.4%,17.0%,23.4%,2022.0,2022-01-01
593,Amir Garrett,KCR,29.6%,63.2%,42.4%,63.3%,84.5%,75.4%,38.2%,58.7%,10.4%,17.3%,27.7%,2022.0,2022-01-01
594,Tylor Megill,NYM,29.5%,73.8%,49.2%,60.8%,84.2%,76.3%,44.4%,62.5%,11.6%,15.0%,26.7%,2022.0,2022-01-01
595,Hunter Brown,HOU,29.5%,66.2%,45.3%,57.7%,89.8%,77.9%,43.0%,63.8%,10.0%,21.4%,31.4%,2022.0,2022-01-01
596,Brady Singer,KCR,29.5%,61.9%,44.2%,63.0%,88.1%,79.0%,45.3%,60.1%,9.3%,21.0%,30.3%,2022.0,2022-01-01
597,Matt Bush,- - -,29.5%,65.8%,45.5%,55.3%,83.0%,72.9%,44.1%,64.3%,12.3%,21.3%,33.7%,2022.0,2022-01-01
598,Ryan Pepiot,LAD,29.5%,63.0%,42.1%,67.6%,79.3%,74.2%,37.4%,62.5%,10.9%,16.7%,27.5%,2022.0,2022-01-01
599,Dany Jimenez,OAK,29.4%,62.8%,41.7%,46.0%,82.4%,66.2%,36.9%,64.1%,14.1%,20.2%,34.3%,2022.0,2022-01-01
600,Hunter Strickland,CIN,29.4%,72.6%,47.0%,60.4%,85.8%,76.4%,40.6%,61.6%,11.1%,15.1%,26.2%,2022.0,2022-01-01
601,Josh Rogers,WSN,29.4%,73.0%,47.5%,83.3%,89.8%,87.4%,41.5%,60.2%,6.0%,15.3%,21.2%,2022.0,2022-01-01
602,Shane Baz,TBR,29.4%,68.8%,47.1%,52.8%,81.8%,71.8%,44.8%,59.0%,13.3%,16.0%,29.3%,2022.0,2022-01-01
603,Adam Oller,OAK,29.4%,77.4%,48.5%,68.1%,88.2%,80.9%,39.7%,60.5%,9.3%,12.8%,22.0%,2022.0,2022-01-01
