#,Name,Team,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,MonthSeason,MonthYear
512,Jake Diekman,CHW,23.3%,68.3%,41.9%,40.7%,75.0%,63.9%,41.4%,70.8%,15.2%,16.2%,31.3%,6.0,2022-08-01
513,Steven Brault,CHC,23.3%,61.5%,37.7%,40.0%,81.3%,65.4%,37.7%,38.9%,13.0%,15.9%,29.0%,6.0,2022-08-01
514,Jon Gray,TEX,23.1%,63.6%,41.7%,50.0%,78.6%,70.0%,45.8%,54.5%,12.5%,16.7%,29.2%,6.0,2022-08-01
515,Hunter Dozier,KCR,23.1%,50.0%,34.8%,100.0%,100.0%,100.0%,43.5%,83.3%,0.0%,21.7%,21.7%,6.0,2022-08-01
516,Jordan Sheffield,COL,23.1%,57.1%,35.0%,33.3%,75.0%,57.1%,35.0%, ,15.0%,5.0%,20.0%,6.0,2022-08-01
517,Joe Barlow,TEX,23.1%,50.0%,33.3%,100.0%,75.0%,85.7%,38.1%,66.7%,4.8%,23.8%,28.6%,6.0,2022-08-01
518,Luke Farrell,CHC,22.9%,68.9%,40.8%,72.7%,95.2%,87.5%,38.9%,50.0%,5.1%,19.7%,24.8%,6.0,2022-08-01
519,Logan Gilbert,SEA,22.9%,68.5%,44.4%,72.5%,89.8%,85.1%,47.3%,59.5%,6.6%,16.8%,23.4%,6.0,2022-08-01
520,Bryan Garcia,DET,22.8%,72.1%,43.8%,61.9%,91.8%,82.9%,42.5%,51.2%,7.5%,16.9%,24.4%,6.0,2022-08-01
521,Alex Colome,COL,22.7%,59.4%,34.7%,73.3%,94.7%,85.3%,32.7%,65.2%,5.1%,19.4%,24.5%,6.0,2022-08-01
522,Luis Castillo,DET,22.7%,86.7%,48.6%,60.0%,100.0%,88.9%,40.5%,55.6%,5.4%,13.5%,18.9%,6.0,2022-08-01
523,Sammy Long,SFG,22.7%,73.3%,43.2%,40.0%,81.8%,68.8%,40.5%,62.5%,13.5%,13.5%,27.0%,6.0,2022-08-01
524,Aroldis Chapman,NYY,22.7%,72.5%,42.9%,64.7%,75.7%,72.2%,40.5%,50.0%,11.9%,14.3%,26.2%,6.0,2022-08-01
525,Andre Pallante,STL,22.7%,70.4%,43.4%,58.6%,95.7%,84.7%,43.4%,60.0%,6.6%,17.7%,24.3%,6.0,2022-08-01
526,Albert Abreu,NYY,22.5%,69.4%,40.2%,47.8%,93.0%,77.3%,37.8%,47.4%,9.1%,16.5%,25.6%,6.0,2022-08-01
527,Ralph Garza,TBR,22.2%,85.7%,50.0%,50.0%,100.0%,87.5%,43.8%,80.0%,6.3%,18.8%,25.0%,6.0,2022-08-01
528,Lucas Gilbreath,COL,22.2%,67.2%,38.5%,54.2%,73.2%,66.2%,36.1%,46.2%,13.0%,18.3%,31.4%,6.0,2022-08-01
529,Jake Bird,COL,22.0%,67.0%,40.8%,57.1%,95.1%,83.1%,41.7%,50.8%,6.9%,15.6%,22.5%,6.0,2022-08-01
530,Matt Dermody,CHC,21.4%,75.0%,46.2%,33.3%,88.9%,75.0%,46.2%,57.1%,11.5%,11.5%,23.1%,6.0,2022-08-01
531,Josh Hader,SDP,21.0%,72.6%,42.8%,52.4%,75.5%,68.9%,42.2%,43.6%,13.3%,14.5%,27.7%,6.0,2022-08-01
532,Craig Kimbrel,LAD,20.9%,63.0%,40.7%,68.4%,84.3%,80.0%,47.1%,68.2%,8.1%,18.6%,26.7%,6.0,2022-08-01
533,Nicholas Padilla,CHC,20.8%,46.7%,30.8%,80.0%,100.0%,91.7%,38.5%,22.2%,2.6%,20.5%,23.1%,6.0,2022-08-01
534,Janson Junk,LAA,20.7%,61.5%,40.0%,100.0%,93.8%,95.5%,47.3%,69.2%,1.8%,21.8%,23.6%,6.0,2022-08-01
535,Darwinzon Hernandez,BOS,20.4%,77.4%,41.2%,63.6%,79.2%,74.3%,36.5%,45.0%,10.6%,12.9%,23.5%,6.0,2022-08-01
536,Austin Brice,PIT,20.0%,60.9%,37.7%,50.0%,85.7%,75.0%,43.4%,66.7%,9.4%,22.6%,32.1%,6.0,2022-08-01
537,Oliver Ortega,LAA,20.0%,20.0%,20.0%,0.0%,100.0%,50.0%,50.0%,66.7%,10.0%,50.0%,60.0%,6.0,2022-08-01
538,Brendon Little,CHC,20.0%,57.1%,31.8%,100.0%,100.0%,100.0%,31.8%,66.7%,0.0%,18.2%,18.2%,6.0,2022-08-01
539,A.J. Alexy,TEX,20.0%,70.0%,36.7%,75.0%,100.0%,90.9%,33.3%,50.0%,3.3%,20.0%,23.3%,6.0,2022-08-01
540,Anthony Bender,MIA,19.4%,71.4%,44.1%,33.3%,80.0%,69.2%,47.5%,64.7%,13.6%,18.6%,32.2%,6.0,2022-08-01
541,Elieser Hernandez,MIA,18.6%,72.5%,47.9%,62.5%,81.1%,77.8%,54.3%,60.0%,10.6%,17.0%,27.7%,6.0,2022-08-01
542,Anderson Espinoza,CHC,18.4%,72.9%,39.1%,52.4%,84.3%,75.0%,38.0%,39.5%,9.8%,14.1%,23.9%,6.0,2022-08-01
543,Yu Chang,TBR,18.2%,86.7%,57.7%,100.0%,100.0%,100.0%,57.7%,45.5%,0.0%,15.4%,15.4%,6.0,2022-08-01
544,Jimmy Yacabonis,TBR,18.2%,62.1%,35.6%,62.5%,94.4%,84.6%,39.7%,75.0%,5.5%,23.3%,28.8%,6.0,2022-08-01
545,Matthew Liberatore,STL,17.6%,78.6%,45.2%,33.3%,81.8%,71.4%,45.2%,72.7%,12.9%,25.8%,38.7%,6.0,2022-08-01
546,Robert Dugger,CIN,17.4%,66.7%,35.6%,87.5%,100.0%,96.2%,37.0%,40.0%,1.4%,17.8%,19.2%,6.0,2022-08-01
547,Sam Selman,OAK,16.7%,61.1%,38.9%,66.7%,90.9%,85.7%,50.0%,50.0%,5.6%,22.2%,27.8%,6.0,2022-08-01
548,Rico Garcia,BAL,16.7%,77.8%,53.3%,100.0%,85.7%,87.5%,60.0%,100.0%,6.7%,6.7%,13.3%,6.0,2022-08-01
549,Aneurys Zabala,MIA,16.7%,75.0%,44.1%,100.0%,75.0%,80.0%,47.1%,25.0%,8.8%,14.7%,23.5%,6.0,2022-08-01
550,Danny Young,ATL,16.0%,53.8%,35.3%,100.0%,100.0%,100.0%,51.0%,66.7%,0.0%,33.3%,33.3%,6.0,2022-08-01
551,Jhoulys Chacin,COL,15.8%,56.3%,34.3%,66.7%,88.9%,83.3%,45.7%,66.7%,5.7%,25.7%,31.4%,6.0,2022-08-01
552,Josh Harrison,CHW,15.8%,88.9%,39.3%,100.0%,87.5%,90.9%,32.1%,55.6%,3.6%,17.9%,21.4%,6.0,2022-08-01
553,Pablo Reyes,MIL,14.3%,100.0%,33.3%,100.0%,100.0%,100.0%,22.2%,33.3%,0.0%,33.3%,33.3%,6.0,2022-08-01
554,Hunter Gaddis,CLE,13.3%,73.5%,39.2%,100.0%,84.0%,87.1%,43.0%,42.1%,5.1%,17.7%,22.8%,6.0,2022-08-01
555,Franmil Reyes,CHC,12.5%,100.0%,30.0%,0.0%,100.0%,66.7%,20.0%,66.7%,10.0%,30.0%,40.0%,6.0,2022-08-01
556,Brennan Bernardino,SEA,11.1%,88.2%,48.6%,100.0%,100.0%,100.0%,48.6%,60.0%,0.0%,11.4%,11.4%,6.0,2022-08-01
557,Jared Koenig,OAK,10.7%,66.7%,39.7%,33.3%,95.0%,87.0%,51.7%,53.8%,5.2%,20.7%,25.9%,6.0,2022-08-01
558,Nicky Lopez,KCR,9.1%,100.0%,37.5%,100.0%,100.0%,100.0%,31.3%,16.7%,0.0%,6.3%,6.3%,6.0,2022-08-01
559,Anthony Misiewicz,KCR,8.3%,57.1%,26.3%,100.0%,100.0%,100.0%,36.8%,60.0%,0.0%,31.6%,31.6%,6.0,2022-08-01
560,Jay Jackson,ATL,0.0%,85.7%,50.0%, ,66.7%,66.7%,58.3%,40.0%,16.7%,8.3%,25.0%,6.0,2022-08-01
561,Tyler Cyr,PHI,0.0%,100.0%,44.4%, ,100.0%,100.0%,44.4%,33.3%,0.0%,0.0%,0.0%,6.0,2022-08-01
562,Darick Hall,PHI,0.0%,66.7%,33.3%, ,100.0%,100.0%,50.0%,50.0%,0.0%,33.3%,33.3%,6.0,2022-08-01
1,Ildemaro Vargas,WSN,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,33.3%,100.0%,0.0%,0.0%,0.0%,7.0,2022-09-01
2,Luis Gonzalez,SFG,80.0%,100.0%,83.3%,100.0%,100.0%,100.0%,16.7%,80.0%,0.0%,0.0%,0.0%,7.0,2022-09-01
3,Garrett Stubbs,PHI,71.4%,50.0%,68.8%,80.0%,100.0%,81.8%,12.5%,66.7%,12.5%,0.0%,12.5%,7.0,2022-09-01
4,Jermaine Palacios,MIN,66.7%,100.0%,75.0%,50.0%,100.0%,66.7%,25.0%,33.3%,25.0%,0.0%,25.0%,7.0,2022-09-01
5,Kody Clemens,DET,65.0%,77.8%,71.1%,100.0%,100.0%,100.0%,47.4%,73.3%,0.0%,7.9%,7.9%,7.0,2022-09-01
6,Keynan Middleton,ARI,53.5%,66.7%,60.4%,65.2%,75.0%,70.9%,52.7%,79.3%,17.6%,17.6%,35.2%,7.0,2022-09-01
7,Andres Munoz,SEA,51.4%,68.0%,56.8%,40.7%,79.4%,55.7%,32.3%,69.8%,25.2%,14.2%,39.4%,7.0,2022-09-01
8,Christian Bethancourt,TBR,50.0%,50.0%,50.0%,100.0%,100.0%,100.0%,66.7%,80.0%,0.0%,33.3%,33.3%,7.0,2022-09-01
9,Jacob Barnes,NYY,50.0%,77.8%,60.0%,50.0%,71.4%,60.0%,36.0%,75.0%,24.0%,8.0%,32.0%,7.0,2022-09-01
10,Carson Kelly,ARI,50.0%,80.0%,66.7%,100.0%,100.0%,100.0%,55.6%,80.0%,0.0%,11.1%,11.1%,7.0,2022-09-01
11,Taylor Clarke,KCR,50.0%,84.6%,63.6%,60.0%,72.7%,66.7%,39.4%,87.5%,21.2%,3.0%,24.2%,7.0,2022-09-01
12,Wyatt Mills,KCR,50.0%,66.7%,55.6%,44.4%,66.7%,53.3%,33.3%,71.4%,25.9%,14.8%,40.7%,7.0,2022-09-01
13,Dylan Lee,ATL,47.9%,67.6%,56.5%,50.0%,86.0%,68.8%,43.5%,78.3%,17.6%,14.7%,32.4%,7.0,2022-09-01
14,Nick Mears,PIT,47.4%,91.7%,64.5%,55.6%,81.8%,70.0%,38.7%,75.0%,19.4%,3.2%,22.6%,7.0,2022-09-01
15,Luis Castillo,DET,47.1%,83.3%,56.5%,37.5%,100.0%,61.5%,26.1%,40.0%,21.7%,8.7%,30.4%,7.0,2022-09-01
16,Raisel Iglesias,ATL,47.0%,66.0%,54.3%,46.5%,83.9%,63.9%,38.4%,61.7%,19.6%,15.1%,34.7%,7.0,2022-09-01
17,Chris Martin,LAD,46.4%,73.9%,59.8%,66.7%,80.9%,75.2%,48.7%,86.3%,14.8%,15.9%,30.7%,7.0,2022-09-01
18,Dominic Leone,SFG,46.2%,83.3%,57.9%,66.7%,80.0%,72.7%,31.6%,54.5%,15.8%,10.5%,26.3%,7.0,2022-09-01
19,Hector Neris,HOU,45.1%,67.2%,52.7%,58.2%,83.7%,69.4%,34.4%,65.3%,16.1%,14.5%,30.6%,7.0,2022-09-01
20,Jhoan Duran,MIN,45.0%,75.8%,56.5%,42.0%,84.0%,63.0%,37.3%,62.2%,20.9%,11.9%,32.8%,7.0,2022-09-01
21,Emmanuel Clase,CLE,44.8%,73.6%,59.2%,58.9%,81.5%,73.0%,50.0%,69.4%,16.0%,14.0%,30.0%,7.0,2022-09-01
22,Richard Bleier,MIA,44.6%,68.1%,55.3%,62.2%,91.5%,78.6%,45.4%,62.2%,11.8%,15.8%,27.6%,7.0,2022-09-01
23,Robert Stephenson,PIT,44.4%,62.4%,52.3%,41.7%,81.1%,62.4%,44.0%,67.4%,19.7%,18.7%,38.3%,7.0,2022-09-01
24,Luis Torrens,SEA,44.4%,85.7%,62.5%,100.0%,100.0%,100.0%,43.8%,60.0%,0.0%,6.3%,6.3%,7.0,2022-09-01
25,Aaron Civale,CLE,44.3%,63.6%,51.3%,60.5%,88.6%,73.1%,36.2%,63.9%,13.8%,15.1%,28.9%,7.0,2022-09-01
26,Sam Hentges,CLE,44.3%,66.3%,53.6%,46.3%,81.4%,64.6%,42.2%,68.5%,19.0%,15.6%,34.6%,7.0,2022-09-01
27,Keegan Akin,BAL,44.2%,73.9%,55.8%,59.0%,83.1%,71.4%,38.9%,63.2%,15.9%,13.3%,29.2%,7.0,2022-09-01
28,Jose Alvarado,PHI,44.1%,65.5%,51.1%,53.8%,81.6%,65.6%,33.0%,62.5%,17.6%,14.2%,31.8%,7.0,2022-09-01
29,Yency Almonte,LAD,44.0%,66.7%,52.5%,36.4%,70.0%,52.4%,37.5%,69.2%,25.0%,15.0%,40.0%,7.0,2022-09-01
30,Marco Gonzales,SEA,44.0%,68.2%,52.7%,74.0%,88.0%,80.5%,35.8%,67.3%,10.3%,15.4%,25.7%,7.0,2022-09-01
31,Will Smith,HOU,43.9%,63.3%,50.9%,59.6%,76.3%,67.1%,35.9%,69.8%,16.8%,15.6%,32.3%,7.0,2022-09-01
32,Sandy Alcantara,MIA,43.8%,75.7%,57.9%,64.8%,85.9%,77.0%,44.3%,70.1%,13.3%,14.0%,27.3%,7.0,2022-09-01
33,Tyler Anderson,LAD,43.4%,73.3%,56.0%,71.4%,87.6%,80.3%,42.1%,72.7%,11.0%,15.1%,26.1%,7.0,2022-09-01
34,Brusdar Graterol,LAD,43.3%,75.0%,62.2%,69.2%,87.9%,82.6%,59.5%,76.2%,10.8%,14.9%,25.7%,7.0,2022-09-01
35,Kevin Gausman,TOR,43.3%,71.1%,55.2%,56.8%,84.6%,72.1%,42.8%,66.4%,15.4%,16.7%,32.1%,7.0,2022-09-01
36,Chris Devenski,PHI,43.2%,80.0%,59.7%,62.5%,70.8%,67.5%,44.8%,78.9%,19.4%,10.4%,29.9%,7.0,2022-09-01
37,Griffin Jax,MIN,43.1%,60.5%,49.8%,67.9%,91.8%,79.0%,38.4%,54.9%,10.4%,16.6%,27.0%,7.0,2022-09-01
38,Orlando Arcia,ATL,42.9%,100.0%,60.0%,100.0%,66.7%,83.3%,30.0%,75.0%,10.0%,0.0%,10.0%,7.0,2022-09-01
39,Wandy Peralta,NYY,42.9%,73.5%,55.4%,57.1%,76.0%,67.4%,41.0%,58.3%,18.1%,14.5%,32.5%,7.0,2022-09-01
40,Jason Adam,TBR,42.4%,64.5%,50.9%,50.0%,72.5%,61.0%,38.5%,64.3%,19.8%,16.0%,35.8%,7.0,2022-09-01
41,Daniel Mengden,KCR,42.3%,60.7%,51.9%,81.8%,100.0%,92.9%,51.9%,71.4%,3.7%,18.5%,22.2%,7.0,2022-09-01
42,Nabil Crismatt,SDP,42.2%,73.7%,55.0%,57.1%,95.2%,77.9%,40.7%,63.2%,12.1%,15.0%,27.1%,7.0,2022-09-01
43,Andrew Heaney,LAD,41.9%,65.4%,51.3%,56.3%,76.9%,66.8%,40.1%,71.4%,17.0%,15.2%,32.3%,7.0,2022-09-01
44,Tanner Banks,CHW,41.9%,58.3%,49.4%,61.1%,81.0%,71.8%,45.6%,95.2%,13.9%,22.8%,36.7%,7.0,2022-09-01
45,Triston McKenzie,CLE,41.7%,71.9%,56.0%,54.2%,84.5%,72.6%,47.4%,66.0%,15.3%,15.7%,31.0%,7.0,2022-09-01
46,Ryan Tepera,LAA,41.6%,66.7%,51.5%,47.6%,88.6%,68.6%,39.5%,61.4%,16.2%,13.8%,29.9%,7.0,2022-09-01
47,Jose Suarez,LAA,41.5%,66.4%,53.0%,65.7%,90.0%,79.8%,46.2%,71.3%,10.7%,17.7%,28.4%,7.0,2022-09-01
48,Jordan Weems,WSN,41.4%,82.0%,58.6%,66.7%,82.4%,76.0%,42.2%,57.9%,14.1%,10.6%,24.7%,7.0,2022-09-01
49,Connor Overton,CIN,41.0%,68.0%,51.6%,78.1%,91.2%,84.8%,39.1%,62.9%,7.8%,14.8%,22.7%,7.0,2022-09-01
50,Drew Rasmussen,TBR,41.0%,74.6%,55.3%,68.8%,82.9%,76.9%,42.5%,65.0%,12.8%,13.8%,26.5%,7.0,2022-09-01
51,Carl Edwards Jr.,WSN,40.9%,70.7%,52.6%,59.6%,90.6%,76.0%,39.5%,64.7%,12.6%,14.2%,26.8%,7.0,2022-09-01
52,Alex Young,SFG,40.6%,68.1%,50.0%,62.5%,89.8%,75.2%,34.3%,62.1%,12.4%,14.3%,26.7%,7.0,2022-09-01
53,Zach Pop,TOR,40.6%,58.3%,47.8%,72.1%,85.7%,78.8%,40.4%,52.2%,10.1%,19.7%,29.8%,7.0,2022-09-01
54,Matthew Festa,SEA,40.6%,67.0%,50.9%,65.5%,88.5%,77.3%,38.9%,63.8%,11.5%,16.2%,27.8%,7.0,2022-09-01
55,Zach Logue,OAK,40.5%,67.6%,49.5%,76.7%,96.0%,85.5%,33.3%,46.2%,7.2%,10.8%,18.0%,7.0,2022-09-01
56,Tim Mayza,TOR,40.5%,56.1%,45.7%,66.0%,94.6%,77.8%,33.5%,46.8%,10.2%,19.3%,29.4%,7.0,2022-09-01
57,Simeon Woods Richardson,MIN,40.4%,79.5%,57.1%,76.2%,87.1%,82.7%,42.9%,70.0%,9.9%,9.9%,19.8%,7.0,2022-09-01
58,Ryan Helsley,STL,40.2%,68.1%,51.4%,53.5%,73.5%,64.1%,40.2%,60.0%,18.4%,14.5%,33.0%,7.0,2022-09-01
59,Bryan Abreu,HOU,40.1%,76.9%,52.0%,40.0%,82.0%,60.0%,32.2%,62.0%,20.8%,11.4%,32.2%,7.0,2022-09-01
60,Ryan Brasier,BOS,40.0%,66.2%,51.3%,63.9%,80.0%,72.8%,43.0%,71.4%,13.9%,19.0%,32.9%,7.0,2022-09-01
61,Scott Alexander,SFG,40.0%,70.8%,51.8%,64.3%,82.6%,73.9%,38.2%,65.4%,13.5%,16.5%,30.0%,7.0,2022-09-01
62,Emilio Pagan,MIN,40.0%,74.3%,52.6%,62.5%,78.8%,71.0%,36.8%,65.3%,15.3%,14.2%,29.5%,7.0,2022-09-01
63,Brett Martin,TEX,40.0%,61.3%,47.3%,79.2%,100.0%,88.4%,34.1%,54.2%,5.5%,16.5%,22.0%,7.0,2022-09-01
64,Stephen Nogosek,NYM,40.0%,76.2%,56.5%,70.0%,68.8%,69.2%,45.7%,54.5%,17.4%,10.9%,28.3%,7.0,2022-09-01
65,Yerry Rodriguez,TEX,40.0%,87.5%,61.1%,100.0%,85.7%,90.9%,44.4%,75.0%,5.6%,11.1%,16.7%,7.0,2022-09-01
66,Jeremiah Estrada,CHC,40.0%,85.7%,56.0%,73.1%,86.7%,80.4%,35.0%,71.4%,11.0%,6.0%,17.0%,7.0,2022-09-01
67,Corey Kluber,TBR,39.9%,65.8%,51.1%,69.5%,88.5%,80.1%,43.1%,71.9%,10.2%,19.3%,29.4%,7.0,2022-09-01
68,Caleb Thielbar,MIN,39.8%,72.8%,56.3%,70.7%,77.3%,75.0%,50.0%,74.0%,14.1%,16.5%,30.6%,7.0,2022-09-01
69,Raynel Espinal,CIN,39.6%,75.0%,52.6%,63.2%,76.2%,70.0%,36.8%,52.4%,15.8%,14.5%,30.3%,7.0,2022-09-01
70,Joe Jimenez,DET,39.5%,65.9%,52.4%,52.9%,77.8%,68.2%,48.8%,64.0%,16.7%,19.0%,35.7%,7.0,2022-09-01
71,Connor Brogdon,PHI,39.5%,80.9%,56.8%,65.3%,70.8%,68.6%,41.8%,69.6%,17.8%,12.2%,30.0%,7.0,2022-09-01
72,Collin Wiles,OAK,39.4%,64.4%,46.8%,65.1%,93.1%,76.4%,29.2%,58.5%,11.0%,16.9%,27.9%,7.0,2022-09-01
73,Corbin Burnes,MIL,39.4%,63.6%,47.7%,54.4%,88.3%,69.9%,34.4%,61.4%,14.4%,16.9%,31.3%,7.0,2022-09-01
74,Casey Lawrence,TOR,39.4%,76.9%,50.0%,61.5%,100.0%,78.3%,28.3%,72.7%,10.9%,13.0%,23.9%,7.0,2022-09-01
75,A.J. Minter,ATL,39.4%,63.5%,48.8%,48.1%,83.3%,66.0%,39.2%,58.2%,16.6%,18.4%,35.0%,7.0,2022-09-01
76,Shawn Armstrong,TBR,39.3%,69.2%,53.6%,71.7%,81.1%,77.5%,47.8%,58.6%,12.1%,17.0%,29.0%,7.0,2022-09-01
77,Scott Barlow,KCR,39.3%,50.8%,42.7%,50.9%,87.1%,63.6%,29.6%,51.1%,15.5%,17.0%,32.5%,7.0,2022-09-01
78,Jonathan Loaisiga,NYY,39.3%,68.1%,50.6%,77.2%,84.4%,81.0%,39.3%,64.1%,9.6%,15.1%,24.7%,7.0,2022-09-01
79,Justin Verlander,HOU,39.0%,72.1%,52.3%,69.5%,85.1%,78.1%,40.0%,59.5%,11.4%,17.1%,28.6%,7.0,2022-09-01
80,Derek Law,CIN,39.0%,54.7%,44.8%,65.6%,98.1%,80.2%,36.7%,66.2%,8.9%,19.3%,28.2%,7.0,2022-09-01
81,Joe Mantiply,ARI,39.0%,57.1%,45.8%,53.1%,85.7%,68.3%,37.4%,51.4%,14.5%,18.3%,32.8%,7.0,2022-09-01
82,Austin Gomber,COL,39.0%,73.3%,53.1%,70.8%,84.1%,78.4%,41.1%,68.4%,11.5%,15.8%,27.3%,7.0,2022-09-01
83,Ross Stripling,TOR,39.0%,70.1%,52.6%,68.9%,84.5%,78.0%,43.7%,71.2%,11.6%,16.8%,28.4%,7.0,2022-09-01
84,Reed Garrett,WSN,38.9%,53.3%,45.5%,85.7%,62.5%,73.3%,45.5%,75.0%,12.1%,18.2%,30.3%,7.0,2022-09-01
85,Kendall Graveman,CHW,38.8%,76.7%,53.1%,57.4%,80.4%,69.9%,37.6%,51.0%,16.0%,12.9%,28.9%,7.0,2022-09-01
86,Jaime Barria,LAA,38.8%,74.1%,53.1%,81.8%,86.0%,84.2%,40.6%,68.3%,8.4%,14.7%,23.1%,7.0,2022-09-01
87,Jake Cousins,MIL,38.8%,84.4%,53.5%,42.3%,81.5%,62.3%,32.3%,61.9%,20.2%,7.1%,27.3%,7.0,2022-09-01
88,Brandon Hughes,CHC,38.7%,67.5%,49.8%,64.6%,78.8%,72.0%,38.3%,73.1%,13.9%,14.4%,28.4%,7.0,2022-09-01
89,Matt Moore,TEX,38.6%,73.2%,53.6%,65.3%,76.1%,71.7%,43.3%,67.9%,15.2%,15.6%,30.8%,7.0,2022-09-01
90,Aaron Loup,LAA,38.5%,66.7%,50.3%,83.8%,89.1%,86.7%,41.8%,59.2%,6.7%,15.2%,21.8%,7.0,2022-09-01
91,Yusei Kikuchi,TOR,38.5%,67.0%,50.2%,38.0%,82.0%,62.2%,41.2%,65.5%,19.0%,16.7%,35.7%,7.0,2022-09-01
92,Ryan Pressly,HOU,38.4%,65.3%,46.0%,43.8%,78.1%,57.5%,28.2%,56.4%,19.5%,14.9%,34.5%,7.0,2022-09-01
93,Dylan Bundy,MIN,38.3%,66.1%,49.9%,66.0%,89.4%,78.9%,41.6%,67.5%,10.5%,17.4%,28.0%,7.0,2022-09-01
94,DL Hall,BAL,38.3%,72.7%,52.1%,63.6%,75.0%,70.0%,40.1%,57.8%,15.5%,17.1%,32.6%,7.0,2022-09-01
95,Domingo Tapia,OAK,38.2%,47.1%,41.2%,84.6%,75.0%,81.0%,33.3%,54.5%,7.8%,19.6%,27.5%,7.0,2022-09-01
96,Dean Kremer,BAL,38.2%,69.3%,51.2%,73.6%,90.4%,83.1%,41.7%,64.6%,8.7%,14.1%,22.7%,7.0,2022-09-01
97,Adbert Alzolay,CHC,38.2%,69.9%,51.8%,50.0%,82.8%,69.0%,43.0%,75.0%,16.1%,15.5%,31.6%,7.0,2022-09-01
98,Jharel Cotton,SFG,38.1%,74.2%,52.2%,75.7%,78.3%,77.1%,39.0%,62.2%,11.9%,14.5%,26.4%,7.0,2022-09-01
99,Steven Matz,STL,38.1%,60.0%,48.8%,56.3%,83.3%,72.5%,48.8%,71.4%,13.4%,22.0%,35.4%,7.0,2022-09-01
100,Eli Morgan,CLE,38.1%,75.0%,52.9%,62.8%,89.5%,78.0%,40.2%,73.6%,11.6%,15.3%,27.0%,7.0,2022-09-01
101,Jovani Moran,MIN,37.9%,73.3%,51.3%,55.3%,69.1%,62.7%,37.7%,64.8%,19.1%,16.1%,35.2%,7.0,2022-09-01
102,Michael Wacha,BOS,37.8%,72.4%,52.4%,73.4%,84.2%,79.7%,42.2%,60.6%,10.6%,15.9%,26.5%,7.0,2022-09-01
103,Jeff Brigham,MIA,37.8%,67.3%,49.6%,60.7%,80.3%,71.3%,39.8%,64.4%,14.2%,15.4%,29.7%,7.0,2022-09-01
104,Phil Maton,HOU,37.8%,66.3%,49.8%,44.4%,77.2%,62.7%,42.0%,69.1%,18.5%,18.5%,37.1%,7.0,2022-09-01
105,Duane Underwood Jr.,PIT,37.8%,74.1%,52.9%,59.7%,82.6%,73.0%,41.4%,63.8%,14.3%,14.6%,28.9%,7.0,2022-09-01
106,Lance Lynn,CHW,37.8%,78.1%,55.4%,62.2%,81.8%,74.2%,43.6%,69.6%,14.3%,11.6%,25.8%,7.0,2022-09-01
107,Packy Naughton,STL,37.8%,76.5%,54.4%,64.7%,88.5%,79.1%,43.0%,52.4%,11.4%,12.7%,24.1%,7.0,2022-09-01
108,Cristian Javier,HOU,37.7%,67.2%,50.6%,58.9%,80.2%,71.2%,43.6%,64.0%,14.5%,16.8%,31.3%,7.0,2022-09-01
109,Edwin Diaz,NYM,37.7%,63.6%,49.2%,23.1%,54.3%,41.0%,44.4%,76.5%,29.0%,22.6%,51.6%,7.0,2022-09-01
110,Kenley Jansen,ATL,37.6%,68.2%,53.4%,73.7%,83.6%,80.2%,51.4%,75.0%,10.6%,18.3%,28.8%,7.0,2022-09-01
111,Jorge Lopez,MIN,37.6%,61.2%,48.0%,66.0%,88.3%,78.5%,43.9%,61.0%,10.3%,18.4%,28.7%,7.0,2022-09-01
112,Collin McHugh,ATL,37.5%,72.2%,50.7%,58.3%,86.0%,73.3%,38.2%,71.2%,13.5%,14.5%,28.0%,7.0,2022-09-01
113,Tommy Kahnle,LAD,37.5%,73.3%,54.8%,62.5%,72.7%,69.1%,48.4%,70.0%,16.9%,14.5%,31.5%,7.0,2022-09-01
114,Matthew Boyd,SEA,37.5%,65.6%,46.9%,58.3%,88.1%,72.2%,33.3%,64.2%,13.0%,18.8%,31.8%,7.0,2022-09-01
115,Jordan Romano,TOR,37.5%,66.0%,50.0%,56.3%,81.8%,71.1%,43.9%,69.1%,14.5%,18.9%,33.3%,7.0,2022-09-01
116,Dusten Knight,TBR,37.5%,70.8%,51.8%,66.7%,70.6%,69.0%,42.9%,69.2%,16.1%,12.5%,28.6%,7.0,2022-09-01
117,Sheldon Neuse,OAK,37.5%,50.0%,40.0%,100.0%,100.0%,100.0%,20.0%,50.0%,0.0%,30.0%,30.0%,7.0,2022-09-01
118,Bailey Ober,MIN,37.4%,71.4%,51.2%,63.0%,82.1%,73.8%,40.5%,68.2%,13.4%,16.2%,29.6%,7.0,2022-09-01
119,Craig Stammen,SDP,37.4%,72.6%,51.6%,41.2%,80.0%,63.3%,40.5%,70.0%,19.0%,13.1%,32.0%,7.0,2022-09-01
120,Elvin Rodriguez,DET,37.3%,77.1%,52.1%,81.8%,88.9%,85.7%,37.2%,60.0%,7.4%,11.7%,19.1%,7.0,2022-09-01
121,Joey Krehbiel,BAL,37.3%,72.4%,50.0%,65.8%,88.1%,77.5%,36.3%,61.7%,11.3%,14.4%,25.6%,7.0,2022-09-01
